LSOA code,Aged 14 years and under,Aged 15 to 29 years,Aged 30 to 59 years,Aged 60 years and over
E01020628,14.2,11,39.7,35.1
E01020629,18.2,15.7,41.4,24.7
E01020655,14.2,12.8,38.5,34.6
E01020656,12.2,12.2,38.6,37
E01020657,16.5,12.7,40.1,30.6
E01020661,17.1,16,38.5,28.6
E01020662,16.5,15.4,39.6,28.6
E01020663,13.1,13.3,38.6,35.1
E01020674,17.4,14.1,36.6,32
E01020678,14.9,16.1,38.4,30.6
E01020626,15.4,16,35,33.5
E01020638,16,16.3,35.5,32.3
E01020639,21.8,16.5,42,19.7
E01020653,16,14.8,40,29.2
E01020677,16.7,12.7,39,31.6
E01020647,25.3,19.5,39.1,16.1
E01020648,22.7,21.1,41.5,14.9
E01020649,18.9,16.8,39.7,24.6
E01020673,13.2,16.2,38.3,32.4
E01020675,14.6,15.1,39.2,30.9
E01020624,18.5,19,42.9,19.7
E01020625,15.1,18.8,35.4,30.6
E01020670,16.6,15.2,35,33.3
E01020671,20.3,18.6,41.8,19.3
E01020672,16.3,15.5,42.9,24.9
E01020632,13.1,17.2,42.3,27.5
E01020640,15.9,18.9,43.6,21.5
E01020641,14.2,14.8,41.5,29.4
E01020642,14.6,15.6,39.6,30.4
E01020643,15.1,17.3,43.5,24.1
E01020667,12,13,38.4,36.7
E01020650,21.1,15.3,42.7,20.8
E01020651,14.4,14,36.4,35.5
E01020652,19.6,16.2,40.4,24
E01020668,20.3,15,41.4,23.2
E01020669,17.2,15.4,40.6,26.6
E01020630,20.3,14.3,39.7,25.7
E01020631,15.9,17.6,38.2,28.3
E01020637,12.9,14,39.3,33.7
E01020645,22.9,17.6,38.4,21
E01034489,21.3,17.2,43.8,17.7
E01034490,23.9,21.3,44.3,10.7
E01034491,22.9,18.6,39.7,18.8
E01020633,20,12.7,39.4,27.7
E01020664,14.5,9.8,36.7,39.1
E01020665,17.1,11.3,37.4,34
E01020666,15,10.5,35.3,39.2
E01020646,15.9,14.2,40.2,29.6
E01020658,16.1,17.6,40.9,25.5
E01020659,12.4,16.3,41.9,29.5
E01020660,16.3,12.7,39.5,31.5
E01020709,10.1,13.7,54.8,21.4
E01020717,10.9,9.1,32.9,47.2
E01020718,13.2,10.8,36.3,39.7
E01020719,15.4,12.3,38.8,33.5
E01020721,15.2,10,41,33.6
E01020708,16.6,13.1,40.5,30
E01020710,16.1,16.9,40.4,26.7
E01020711,16.2,18,40,26.1
E01020720,17.4,12.1,39,31.4
E01020679,16.3,16.9,40.6,26
E01020680,15.2,12.2,42.7,29.8
E01020681,16.4,17.6,38.2,27.7
E01020714,11.7,13.8,39.5,35
E01020716,22.6,19.1,37.2,21.1
E01020725,14.6,15.2,38.7,31.4
E01020726,10.7,13.9,39,36.5
E01020727,16.2,15.8,37.5,30.6
E01020729,16.4,17.7,43.7,22.3
E01020730,16.6,15.2,37.1,31.2
E01020731,15.2,14.5,38.6,31.6
E01020682,12.1,10.1,33.4,44.3
E01020683,16.2,14.2,36.6,32.9
E01020690,12.5,12.1,33.1,42.2
E01020691,15.4,16.7,40.8,27.3
E01020692,11.7,11.3,36.8,40.2
E01020693,12.5,26.5,37.1,24
E01020722,12,30.8,35.4,21.8
E01020723,6.4,53,21.7,19.4
E01020724,26.6,21.4,37.8,14.1
E01020703,2.7,78.4,9.5,9.7
E01033195,4.5,65.1,14.7,15.7
E01033197,2.1,67.2,22.3,8.4
E01034493,1.1,89.8,4.7,4.5
E01020702,14.2,28.9,34.6,22.2
E01020704,8.4,56.2,18.9,16.8
E01020712,16.2,30.1,32.1,21.5
E01034496,14.7,34.8,33,17.1
E01034497,16.1,16,46.9,21
E01034498,15.3,42.5,28.9,13.4
E01034499,21.1,22.4,44.5,11.9
E01020705,20.6,14.1,39,26.2
E01020706,13.4,12.4,39,35.2
E01034494,19.9,19,46.4,14.6
E01034495,16.9,18.3,42.9,21.8
E01020685,12.5,13.5,39.2,34.9
E01020686,14.3,17,39.7,29.2
E01020687,13.2,11.9,36.5,38.5
E01020688,14.6,18.4,40,27.2
E01020689,18.7,14.8,37.9,28.4
E01020694,17.8,16,41.3,24.8
E01020696,13.7,13.2,40.9,32.2
E01020697,15.5,18.2,39.3,27.1
E01020732,15.3,13.4,39.3,31.9
E01020695,16,20,40.3,23.9
E01020698,14.7,17.4,44,24
E01020699,20.8,17.4,40.2,21.7
E01020700,16.3,15,40.6,28.1
E01020701,12.2,14.2,41.5,31.9
E01020750,7.8,12.8,35.4,44.1
E01020786,10.7,12.8,37.4,38.9
E01020787,17.7,17.1,38.9,26.1
E01033163,21.6,11.3,47.5,19.4
