LSOA,Female,Male
E01023222,54.4,45.6
E01024444,54.4,45.6
E01024655,54.4,45.6
E01024830,54.4,45.6
E01032554,54.4,45.6
E01028652,54.4,45.6
E01031363,54.4,45.6
E01031415,54.4,45.6
E01031511,54.4,45.6
E01035320,54.4,45.6
E01035322,54.4,45.6
E01031499,54.4,45.6
E01014403,54.4,45.6
E01014478,54.4,45.6
E01014427,54.4,45.6
E01014431,54.4,45.6
E01032682,54.4,45.6
E01014834,54.4,45.6
E01015299,54.4,45.6
E01020238,54.4,45.6
E01029045,54.4,45.6
E01029218,54.4,45.6
E01032541,54.3,45.7
E01011979,54.3,45.7
E01012076,54.3,45.7
E01012050,54.3,45.7
E01012033,54.3,45.7
E01012035,54.3,45.7
E01020720,54.3,45.7
E01020798,54.3,45.7
E01020852,54.3,45.7
E01027490,54.3,45.7
E01008858,54.3,45.7
E01008874,54.3,45.7
E01008776,54.3,45.7
E01012437,54.3,45.7
E01018311,54.3,45.7
E01025579,54.3,45.7
E01005679,54.3,45.7
E01006482,54.3,45.7
E01034397,54.3,45.7
E01006873,54.3,45.7
E01006972,54.3,45.7
E01007109,54.3,45.7
E01012879,54.3,45.7
E01013046,54.3,45.7
E01013036,54.3,45.7
E01012980,54.3,45.7
E01013370,54.3,45.7
E01027668,54.3,45.7
E01010717,54.3,45.7
E01010589,54.3,45.7
E01011064,54.3,45.7
E01011212,54.3,45.7
E01011565,54.3,45.7
E01011656,54.3,45.7
E01011403,54.3,45.7
E01026306,54.3,45.7
E01028830,54.3,45.7
E01032314,54.3,45.7
E01009295,54.3,45.7
E01009502,54.3,45.7
E01010007,54.3,45.7
E01010112,54.3,45.7
E01015867,54.3,45.7
E01016004,54.3,45.7
E01017969,54.3,45.7
E01018225,54.3,45.7
E01035164,54.3,45.7
E01021764,54.3,45.7
E01033043,54.3,45.7
E01000256,54.3,45.7
E01000163,54.3,45.7
E01000365,54.3,45.7
E01000427,54.3,45.7
E01000693,54.3,45.7
E01000909,54.3,45.7
E01000889,54.3,45.7
E01000870,54.3,45.7
E01000905,54.3,45.7
E01001133,54.3,45.7
E01001410,54.3,45.7
E01001507,54.3,45.7
E01001629,54.3,45.7
E01001811,54.3,45.7
E01001767,54.3,45.7
E01001878,54.3,45.7
E01035484,54.3,45.7
E01001950,54.3,45.7
E01001934,54.3,45.7
E01001970,54.3,45.7
E01002063,54.3,45.7
E01002364,54.3,45.7
E01002264,54.3,45.7
E01002420,54.3,45.7
E01002806,54.3,45.7
E01002728,54.3,45.7
E01002890,54.3,45.7
E01002861,54.3,45.7
E01002848,54.3,45.7
E01002903,54.3,45.7
E01003086,54.3,45.7
E01003298,54.3,45.7
E01034481,54.3,45.7
E01003890,54.3,45.7
E01003971,54.3,45.7
E01035683,54.3,45.7
E01004643,54.3,45.7
E01004633,54.3,45.7
E01004754,54.3,45.7
E01016736,54.3,45.7
E01017811,54.3,45.7
E01021084,54.3,45.7
E01021220,54.3,45.7
E01022777,54.3,45.7
E01022778,54.3,45.7
E01022747,54.3,45.7
E01024251,54.3,45.7
E01034992,54.3,45.7
E01028534,54.3,45.7
E01030302,54.3,45.7
E01031419,54.3,45.7
E01031630,54.3,45.7
E01031726,54.3,45.7
E01031802,54.3,45.7
E01014765,54.3,45.7
E01015162,54.3,45.7
E01015094,54.3,45.7
E01018807,54.3,45.7
E01032019,54.3,45.7
E01034272,54.3,45.7
E01020486,54.3,45.7
E01020479,54.3,45.7
E01020181,54.3,45.7
E01022140,54.3,45.7
E01011977,54.2,45.8
E01012118,54.2,45.8
E01012120,54.2,45.8
E01012284,54.2,45.8
E01012359,54.2,45.8
E01027516,54.2,45.8
E01008579,54.2,45.8
E01008821,54.2,45.8
E01012419,54.2,45.8
E01018620,54.2,45.8
E01018738,54.2,45.8
E01025157,54.2,45.8
E01025445,54.2,45.8
E01025447,54.2,45.8
E01025501,54.2,45.8
E01005077,54.2,45.8
E01005265,54.2,45.8
E01005422,54.2,45.8
E01005889,54.2,45.8
E01005919,54.2,45.8
E01006416,54.2,45.8
E01006412,54.2,45.8
E01006500,54.2,45.8
E01006475,54.2,45.8
E01006790,54.2,45.8
E01006600,54.2,45.8
E01006678,54.2,45.8
E01006530,54.2,45.8
E01006989,54.2,45.8
E01006982,54.2,45.8
E01006977,54.2,45.8
E01007223,54.2,45.8
E01007118,54.2,45.8
E01007182,54.2,45.8
E01035464,54.2,45.8
E01012949,54.2,45.8
E01013110,54.2,45.8
E01013286,54.2,45.8
E01027849,54.2,45.8
E01007585,54.2,45.8
E01007991,54.2,45.8
E01008102,54.2,45.8
E01010657,54.2,45.8
E01010749,54.2,45.8
E01010916,54.2,45.8
E01011558,54.2,45.8
E01011658,54.2,45.8
E01011326,54.2,45.8
E01011663,54.2,45.8
E01013880,54.2,45.8
E01019780,54.2,45.8
E01032899,54.2,45.8
E01032148,54.2,45.8
E01009418,54.2,45.8
E01009073,54.2,45.8
E01008923,54.2,45.8
E01010147,54.2,45.8
E01010142,54.2,45.8
E01010496,54.2,45.8
E01010482,54.2,45.8
E01010483,54.2,45.8
E01021255,54.2,45.8
E01021631,54.2,45.8
E01021845,54.2,45.8
E01022050,54.2,45.8
E01023561,54.2,45.8
E01029913,54.2,45.8
E01033048,54.2,45.8
E01000626,54.2,45.8
E01000603,54.2,45.8
E01000772,54.2,45.8
E01000928,54.2,45.8
E01000922,54.2,45.8
E01000932,54.2,45.8
