LSOA code,1 car or van in household,2 cars or vans in household,3 or more cars or vans in household,No cars or vans in household
E01027319,41.84168013,31.66397415,11.47011309,15.02423263
E01027320,41.77057357,31.54613466,11.59600998,15.0872818
E01027321,34.80916031,42.13740458,16.79389313,6.259541985
E01027322,38.46153846,36.49373882,13.59570662,11.4490161
E01027323,37.51507841,39.32448733,13.26899879,9.891435464
E01027324,37.6,41,14.4,7
E01027325,41.9047619,36.07142857,12.38095238,9.642857143
E01027326,41.20805369,30.87248322,13.82550336,14.09395973
E01027327,43.95604396,26.0989011,11.95054945,17.99450549
E01027328,45.0617284,29.16666667,9.87654321,15.89506173
E01027329,38.79310345,34.48275862,16.37931034,10.34482759
E01027330,44.17910448,25.52238806,8.507462687,21.79104478
E01027331,47.58942457,17.88491446,5.909797823,28.61586314
E01027332,39.10355487,35.70324575,12.51931994,12.67387944
E01027333,33.95784543,45.43325527,16.04215457,4.566744731
E01027334,40.0390625,18.5546875,4.6875,36.71875
E01027335,37.30407524,37.14733542,16.77115987,8.777429467
E01027336,42.65129683,29.10662824,10.23054755,18.01152738
E01027337,43.55444305,35.04380476,12.51564456,8.886107635
E01027338,30.85210578,39.76493634,21.25367287,8.129285015
E01027339,48.6535009,18.13285458,7.719928187,25.49371634
E01027340,45.30046225,23.42064715,8.166409861,23.11248074
E01027341,46.82779456,23.71601208,5.438066465,24.01812689
E01027342,45.68245125,21.44846797,7.242339833,25.62674095
E01027343,42.99674267,32.8990228,13.84364821,10.26058632
E01027344,40.34003091,34.3122102,14.52859351,10.81916538
E01027345,32.16494845,43.71134021,19.17525773,4.948453608
E01027346,36.55172414,38.96551724,18.44827586,6.034482759
E01027347,36.4973262,41.44385027,16.17647059,5.882352941
E01027348,36.96335079,40,15.4973822,7.539267016
E01027350,42.09770115,22.12643678,7.471264368,28.3045977
E01027351,43.21148825,19.19060052,5.221932115,32.37597911
E01027352,47.6340694,17.98107256,4.889589905,29.49526814
E01027353,39.69543147,37.76649746,15.93908629,6.598984772
E01027354,38.37535014,33.70681606,16.2464986,11.6713352
E01027355,34.31085044,41.49560117,16.71554252,7.478005865
E01027356,42.05426357,33.62403101,12.01550388,12.30620155
E01027357,44.73197782,35.48983364,9.981515712,9.796672828
E01027358,48.09010774,19.58863859,5.386875612,26.93437806
E01027359,45.09615385,18.55769231,4.519230769,31.82692308
E01027361,45.01216545,21.04622871,5.474452555,28.46715328
E01027362,45.83835947,29.19179735,8.805790109,16.16405308
E01027363,42.67631103,18.26401447,3.797468354,35.26220615
E01027364,47.30046948,25.93896714,11.15023474,15.61032864
E01027365,38.1255687,38.1255687,16.28753412,7.46132848
E01027366,41.04683196,38.01652893,12.53443526,8.402203857
E01027367,39.87915408,39.72809668,13.89728097,6.495468278
E01027368,45.27112232,30.26481715,10.84489281,13.61916772
E01027369,43.62139918,32.78463649,10.28806584,13.30589849
E01027370,35.99137931,42.13362069,15.51724138,6.357758621
E01027371,42.53164557,32.78481013,11.01265823,13.67088608
E01027372,43.03460515,36.29103815,11.44631766,9.228039042
E01027373,43.15569488,35.42319749,14.10658307,7.314524556
E01027374,46.40591966,31.39534884,10.35940803,11.83932347
E01027375,42.60969977,34.98845266,16.62817552,5.773672055
E01027376,46.52406417,19.65240642,4.411764706,29.41176471
E01027377,48.29059829,9.829059829,2.243589744,39.63675214
E01027378,46.24505929,31.22529644,10.27667984,12.25296443
E01027379,46.77871148,34.17366947,8.963585434,10.08403361
E01027380,43.76996805,34.34504792,11.66134185,10.22364217
E01027381,42.93849658,35.4214123,12.30068337,9.339407745
E01027382,46.61746617,32.71832718,10.70110701,9.963099631
E01027383,52.95109612,23.60876897,6.070826307,17.3693086
E01027384,46.55436447,30.62787136,11.48545176,11.3323124
E01027385,49.48875256,19.83640082,3.067484663,27.60736196
E01027386,49.91708126,25.04145937,7.794361526,17.24709784
E01027387,47.2063854,13.45496009,3.648802737,35.68985177
E01027388,46.27831715,15.53398058,5.987055016,32.20064725
