LSOA code,Less than 5km,5km to less than 20km,20km to less than 40km,40km and over,"Works mainly at an offshore installation, in no fixed place, or outside the UK",Works mainly from home
E01019574,39.23611111,23.09027778,3.645833333,2.777777778,15.45138889,15.79861111
E01019575,43.28808446,26.24434389,2.111613876,1.659125189,15.23378582,11.46304676
E01019576,36.24595469,21.03559871,4.207119741,1.941747573,16.99029126,19.57928803
E01019577,31.97586727,22.62443439,5.731523379,2.111613876,16.1387632,21.41779789
E01019578,43.42857143,27.04761905,3.80952381,2.476190476,12.95238095,10.28571429
E01019579,38.53932584,21.23595506,4.269662921,2.359550562,14.49438202,19.1011236
E01019580,38.25503356,23.08724832,3.489932886,2.147651007,14.36241611,18.65771812
E01019581,40.45307443,21.84466019,3.55987055,2.427184466,14.0776699,17.63754045
E01019582,31.4516129,23.38709677,3.897849462,1.747311828,14.65053763,24.8655914
E01019583,29.30029155,23.46938776,5.83090379,2.186588921,13.8483965,25.36443149
E01019585,33.52891869,21.79379715,5.113160101,2.095557418,10.89689858,26.57166806
E01019586,28.68589744,18.58974359,5.929487179,2.083333333,14.42307692,30.28846154
E01019587,28.88198758,18.63354037,3.571428571,3.416149068,9.316770186,36.18012422
E01019588,23.6084453,16.89059501,4.990403071,2.495201536,9.980806142,42.03454894
E01019589,26.5060241,20.82616179,5.507745267,3.442340792,11.18760757,32.53012048
E01019590,28.27763496,17.48071979,5.655526992,1.799485861,12.98200514,33.80462725
E01019591,29.33333333,16.13333333,5.2,1.866666667,13.86666667,33.6
E01019592,21.70087977,19.50146628,4.545454545,2.346041056,9.530791789,42.37536657
E01019593,17.59834369,22.98136646,6.832298137,2.48447205,12.00828157,38.0952381
E01019594,34.36018957,19.54976303,11.72985782,2.369668246,17.41706161,14.57345972
